Time [ms], Thrust [N]
352,  1968.9159341745965
353,  1966.3510458605142
354,  1963.9672317972638
355,  1961.9076159630074
356,  1960.2729500534472
357,  1959.0972965366775
358,  1958.400335439857
359,  1958.158183361164
360,  1958.3400511290606
361,  1958.8818516244266
362,  1959.7002329851382
363,  1960.703370416074
364,  1961.7766889098336
365,  1962.8114879017687
366,  1963.6651498318024
367,  1964.2427297822792
368,  1964.4736659883556
369,  1964.2519018680914
370,  1963.5707696000388
371,  1962.4446617858596
372,  1960.9284093202236
373,  1959.0840185944983
374,  1957.0198108933487
375,  1954.8382556808294
376,  1952.6207922451347
377,  1950.4203338686516
378,  1948.229720494662
379,  1946.0384809638558
380,  1943.7604795765772
381,  1941.270256606163
382,  1938.438164519706
383,  1935.1504136967435
384,  1931.311177954639
385,  1926.8709365234051
387,  1921.8299930669275
388,  1916.2864781097028
389,  1910.4062174894304
390,  1904.3791849810325
391,  1898.454060683877
392,  1892.8709595604462
393,  1887.8062882279219
394,  1883.434570220634
395,  1879.8257386302664
396,  1876.9190850454406
397,  1874.6127145211876
398,  1872.7014420406044
399,  1870.9007402984498
400,  1868.9156686165886
401,  1866.4503584250263
402,  1863.241134991363
403,  1859.10475487548
404,  1853.9310922648037
405,  1847.691198850447
406,  1840.4911109242405
407,  1832.5052916222214
408,  1823.9193863159906
409,  1815.0175881033667
410,  1806.0577430966123
411,  1797.2726544913385
412,  1788.84079543772
413,  1780.920846643094
414,  1773.5341535011314
415,  1766.6807331904135
416,  1760.3035907694573
417,  1754.253032795368
418,  1748.396186378304
419,  1742.5613767188217
420,  1736.5490372435952
421,  1730.2574507897411
422,  1723.544136460306
423,  1716.297324238402
424,  1708.4729316210958
425,  1700.062701352155
426,  1691.046765030233
427,  1681.48226598908
428,  1671.430239280712
429,  1660.9847466494778
430,  1650.2552053389982
431,  1639.3584167903355
432,  1628.413787678498
433,  1617.5337554729226
434,  1606.8434220335155
435,  1596.408759720814
436,  1586.280777479854
437,  1576.513015293619
438,  1567.0948764467455
439,  1557.9753766894962
440,  1549.0799636893935
441,  1540.3462215779714
442,  1531.6641190118096
443,  1522.9232156075134
444,  1514.069755483487
445,  1505.0397536144783
446,  1495.7854288994772
447,  1486.3446058347372
448,  1476.7321676762635
449,  1467.0244714060307
450,  1457.3069297457484
451,  1447.656199398547
452,  1438.1695113537955
453,  1428.9144247287884
454,  1419.9260322746425
455,  1411.2255777613414
456,  1402.810570972762
457,  1394.6270905974943
458,  1386.6219612021953
459,  1378.7456627045385
460,  1370.9366852266676
461,  1363.1401955393003
462,  1355.3195283700222
463,  1347.4967114714395
464,  1339.6488516541967
465,  1331.8465383511457
466,  1324.1396512329184
467,  1316.5901499075137
468,  1309.3048865849887
469,  1302.3346925368533
470,  1295.7609364680081
471,  1289.6842318196655
472,  1284.138745204943
473,  1279.1757395531583
474,  1274.8559254918111
475,  1271.2227345160827
476,  1268.284368483689
477,  1266.0909819556755
478,  1264.6437083469627
479,  1263.9401595644435
480,  1263.9877721436994
481,  1264.7458814109489
482,  1266.151792259911
483,  1268.1676925753645
484,  1270.7054290583972
485,  1273.665280431276
486,  1276.9807250712884
487,  1280.585145925323
488,  1284.4166551862727
489,  1288.4744346095986
490,  1292.76965571855
491,  1297.3727493821434
492,  1302.381071295768
493,  1307.9167415395432
494,  1314.1224062503147
495,  1321.1332599534876
496,  1329.0798876815957
497,  1338.040956592815
498,  1348.037329380386
499,  1359.0557292434246
500,  1371.0030708097675
501,  1383.733041704301
502,  1397.0359959928853
503,  1410.6821607003096
504,  1424.4420143958446
505,  1438.0773736221438
506,  1451.3571981589746
507,  1464.1496460535236
508,  1476.3621256155793
509,  1487.9430070643896
510,  1498.9383765286561
511,  1509.442679281722
